instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed008_pair1_B2_w6,8,40,4,31,0-3,1,B2,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.46875,0.53125,-0.026675520687029268,44,111000,101000,111000
seed008_pair1_B3_w6,8,40,4,31,0-3,1,B3,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.546875,0.453125,0.48765354523339516,16,011001,010001,011001
seed008_pair2_B1_w6,8,40,4,31,2-3,2,B1,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.75,0.25,0.5272533745871982,1,111111,111111,111111
seed008_pair2_B2_w6,8,40,4,31,2-3,2,B2,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.65625,0.34375,0.6834130867975232,1,011111,011111,011111
seed008_pair2_B3_w6,8,40,4,31,2-3,2,B3,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.5,0.5,0.6504424272682015,1,000110,000110,000110
seed008_pair1_B1_w8,8,40,4,31,0-3,1,B1,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.171875,0.828125,0.40733219844357965,1,10000000,10000000,10000000
seed008_pair1_B2_w8,8,40,4,31,0-3,1,B2,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.30859375,0.69140625,-0.3884215145962871,219,11111001,10101001,11111001
seed008_pair1_B3_w8,8,40,4,31,0-3,1,B3,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.34765625,0.65234375,0.25871712567216243,38,11000100,10000100,11000100
seed008_pair2_B1_w8,8,40,4,31,2-3,2,B1,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.35546875,0.64453125,0.1111315634831616,1,11111111,11111111,11111111
seed008_pair2_B2_w8,8,40,4,31,2-3,2,B2,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.5,0.5,0.5617267967498283,1,00000111,00000111,00000111
seed008_pair2_B3_w8,8,40,4,31,2-3,2,B3,8,256,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.234375,0.765625,0.3695224879835202,1,11000000,11000000,11000000
seed009_pair1_B1_w6,9,50,5,33,2-4,1,B1,6,64,135.6184099439711,135.07894264687783,0.5394672970932675,True,2,0.03125,False,1,0.421875,0.578125,-0.42602942692579426,46,011110,010011,001111
seed009_pair1_B2_w6,9,50,5,33,2-4,1,B2,6,64,135.6184099439711,133.01883939936715,2.5995705446039494,True,8,0.125,False,1,0.890625,0.109375,-0.5277472527472528,50,110100,011011,111111
seed009_pair1_B3_w6,9,50,5,33,2-4,1,B3,6,64,135.6184099439711,135.07894264687783,0.5394672970932675,True,1,0.015625,False,1,0.734375,0.265625,0.6320585171947662,3,100100,100111,100110
seed009_pair2_B1_w6,9,50,5,33,0-4,2,B1,6,64,135.6184099439711,131.97386851374395,3.64454143022715,True,11,0.171875,False,1,0.65625,0.34375,-0.16793982590014708,58,110000,101011,111001
seed009_pair2_B2_w6,9,50,5,33,0-4,2,B2,6,64,135.6184099439711,132.37162481445841,3.2467851295126877,True,2,0.03125,False,1,0.328125,0.671875,-0.2896821810830797,63,110011,010010,110111
seed009_pair2_B3_w6,9,50,5,33,0-4,2,B3,6,64,135.6184099439711,132.37162481445841,3.2467851295126877,True,2,0.03125,False,1,0.390625,0.609375,0.1872252747252747,61,011101,010101,011111
seed009_pair1_B1_w8,9,50,5,33,2-4,1,B1,8,256,135.6184099439711,135.07894264687783,0.5394672970932675,True,2,0.0078125,False,1,0.66015625,0.33984375,-0.10315886564666416,184,00011110,01010011,00001111
seed009_pair1_B2_w8,9,50,5,33,2-4,1,B2,8,256,135.6184099439711,133.01883939936715,2.5995705446039494,True,11,0.04296875,False,1,0.77734375,0.22265625,-0.38779898146028835,210,01110100,01011011,01111111
seed009_pair1_B3_w8,9,50,5,33,2-4,1,B3,8,256,135.6184099439711,135.07894264687783,0.5394672970932675,True,1,0.00390625,False,1,0.44140625,0.55859375,0.3673901044785727,17,10000100,11010101,11000100
seed009_pair2_B1_w8,9,50,5,33,0-4,2,B1,8,256,135.6184099439711,131.97386851374395,3.64454143022715,True,18,0.0703125,False,1,0.4921875,0.5078125,0.2349940636574295,197,11000000,10011011,11010001
seed009_pair2_B2_w8,9,50,5,33,0-4,2,B2,8,256,135.6184099439711,132.37162481445841,3.2467851295126877,True,1,0.00390625,False,1,0.05078125,0.94921875,-0.10994732849207194,256,11111011,10101010,11111111
seed009_pair2_B3_w8,9,50,5,33,0-4,2,B3,8,256,135.6184099439711,132.37162481445841,3.2467851295126877,True,2,0.0078125,False,1,0.15234375,0.84765625,-0.21512674108289917,254,11110110,10100101,11110111
